repo	entity_scope	true_name	call_sign	system_id	subtree_prefix	status	source_evidence
/home/architit/work/Archivator_Agent	repo_domain	ArchivatorAgentshpoisat	Archivator_Agent	ARCHIVATOR_AGENT	ARCHIVATOR_AGENT/Archivator_Agent	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/Archivator_Agent/SubtreeHub	repo_domain	SubtreeHubshpoisat	SubtreeHub	SUBTREEHUB	SUBTREEHUB/SubtreeHub	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/CORE	repo_domain	COREshpoisat	CORE	CORE	CORE/CORE	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/J.A.R.V.I.S	repo_domain	JARVISshpoisat	J.A.R.V.I.S	J_A_R_V_I_S	J_A_R_V_I_S/J.A.R.V.I.S	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/LAM	reference_contract	Loarachspoiszat	Larpat	LRPT	LRPT/Larpat	ACTIVE	NAMING_MODEL.md
/home/architit/work/LAM	reference_contract	Tendshpoisat	Taspit	TSPT	TSPT/Taspit	ACTIVE	NAMING_MODEL.md
/home/architit/work/LAM-Codex_Agent	repo_domain	LAMCodexAgentshpoisat	LAM-Codex_Agent	LAM_CODEX_AGENT	LAM_CODEX_AGENT/LAM-Codex_Agent	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/LAM_Comunication_Agent	repo_domain	LAMComunicationAgentshpoisat	LAM_Comunication_Agent	LAM_COMUNICATION_AGENT	LAM_COMUNICATION_AGENT/LAM_Comunication_Agent	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/LAM_DATA_Src	repo_domain	LAMDATASrcshpoisat	LAM_DATA_Src	LAM_DATA_SRC	LAM_DATA_SRC/LAM_DATA_Src	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/LAM_Test_Agent	repo_domain	LAMTestAgentshpoisat	LAM_Test_Agent	LAM_TEST_AGENT	LAM_TEST_AGENT/LAM_Test_Agent	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/Operator_Agent	repo_domain	OperatorAgentshpoisat	Operator_Agent	OPERATOR_AGENT	OPERATOR_AGENT/Operator_Agent	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/RADRILONIUMA-PROJECT	root_container	Loarachspoiszat	Larpat	LRPT	LRPT/Larpat	ACTIVE	NAMING_MODEL.md
/home/architit/work/RADRILONIUMA-PROJECT	task_domain_home	Tendshpoisat	Taspit	TSPT	TSPT/Taspit	ACTIVE	NAMING_MODEL.md
/home/architit/work/Roaudter-agent	repo_domain	Roaudteragentshpoisat	Roaudter-agent	ROAUDTER_AGENT	ROAUDTER_AGENT/Roaudter-agent	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/System-	repo_domain	Systemshpoisat	System-	SYSTEM_	SYSTEM_/System-	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/TRIANIUMA_DATA_BASE	repo_domain	TRIANIUMADATABASEshpoisat	TRIANIUMA_DATA_BASE	TRIANIUMA_DATA_BASE	TRIANIUMA_DATA_BASE/TRIANIUMA_DATA_BASE	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/Trianiuma	repo_domain	Trianiumashpoisat	Trianiuma	TRIANIUMA	TRIANIUMA/Trianiuma	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
/home/architit/work/Trianiuma_MEM_CORE	repo_domain	TrianiumaMEMCOREshpoisat	Trianiuma_MEM_CORE	TRIANIUMA_MEM_CORE	TRIANIUMA_MEM_CORE/Trianiuma_MEM_CORE	ACTIVE_PROVISIONAL	GOVERNANCE_PROVISIONAL_RULE_V1
